Timestamp	Do you consider yourself a native speaker of English?	Please select the first option.	Group #1: Is clip X most similar to A or B?	Group #2: Is clip X most similar to A or B?	Group #3: Is clip X most similar to A or B?	Group #4: Is clip X most similar to A or B?	Group #5: Is clip X most similar to A or B?	Group #6: Is clip X most similar to A or B?	Group #7: Is clip X most similar to A or B?	Group #8: Is clip X most similar to A or B?	Group #9: Is clip X most similar to A or B?	Group #10: Is clip X most similar to A or B?	Pair #1: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #2: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #3: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #4: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #5: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #6: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #7: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #8: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #9: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #10: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Please select the first option.	Group #1: Is clip X most similar to A or B?	Group #2: Is clip X most similar to A or B?	Group #3: Is clip X most similar to A or B?	Group #4: Is clip X most similar to A or B?	Group #5: Is clip X most similar to A or B?	Group #6: Is clip X most similar to A or B?	Group #7: Is clip X most similar to A or B?	Group #8: Is clip X most similar to A or B?	Group #9: Is clip X most similar to A or B?	Group #10: Is clip X most similar to A or B?	Pair #1: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #2: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #3: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #4: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #5: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #6: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #7: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #8: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #9: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]	Pair #10: Rate the pair of audio clips on a scale of -7 (definitely a different speaker) to 7 (definitely the same speaker). [Similarity]
25/12/2018 13:30:17	No	GLA M: https://kennywlino.github.io/msc_thesis/pages/gla_male.html	A	B	A	A	A	B	B	B	B	B	Definitely the same speaker 7	4	-4	4	5	5	Definitely a different speaker -7	-1	1	5	SPANISH F: https://kennywlino.github.io/msc_thesis/pages/spanish_female.html	B	A	B	B	B	B	A	A	B	A	Definitely the same speaker 7	-4	6	-1	6	5	6	Definitely a different speaker -7	4	-3
25/12/2018 21:04:47	No	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	B	A	A	B	A	A	A	A	B	B	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	B	A	A	B	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7
25/12/2018 21:40:40	Yes	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	B	A	A	B	A	A	A	A	B	B	Definitely a different speaker -7	Definitely a different speaker -7	4	-5	3	-6	Definitely the same speaker 7	2	Definitely a different speaker -7	6	HINDI M: https://kennywlino.github.io/msc_thesis/pages/hindi_male.html	B	A	A	B	A	A	B	B	A	A	Unsure 0	4	3	4	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7
26/12/2018 13:49:49	No	GLA F: https://kennywlino.github.io/msc_thesis/pages/gla_female.html	A	A	A	B	A	A	B	B	A	A	Definitely the same speaker 7	-5	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	-6	6	-5	-6	KOREAN F: https://kennywlino.github.io/msc_thesis/pages/korean_female.html	B	B	B	B	B	B	B	A	A	B	Definitely the same speaker 7	-6	-6	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	-5	Definitely the same speaker 7	1	-6
26/12/2018 19:38:55	No	EAN F:https://kennywlino.github.io/msc_thesis/pages/ean_female.html	B	A	A	B	A	A	B	A	A	A	-1	Definitely a different speaker -7	-5	-5	5	2	Definitely the same speaker 7	3	Definitely a different speaker -7	Definitely the same speaker 7	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	Definitely a different speaker -7	5	Definitely a different speaker -7	-5	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	4	-5	2
27/12/2018 01:20:32	Yes	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	A	B	B	A	A	B	B	A	A	A	2	-4	-5	2	-3	-5	-4	-4	-5	-5	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	-6	6	-3	-5	-6	6	-5	5	6	6
27/12/2018 01:52:25	No	GLA M: https://kennywlino.github.io/msc_thesis/pages/gla_male.html	A	B	A	A	A	B	B	B	B	B	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7
27/12/2018 01:52:35	No	GLA M: https://kennywlino.github.io/msc_thesis/pages/gla_male.html	A	B	A	A	A	B	B	B	B	B	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7
27/12/2018 02:05:21	No	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	B	A	A	B	A	A	A	A	A	B	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	B	A	A	B	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7
27/12/2018 02:54:40	No	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	B	A	B	B	A	A	B	A	B	B	3	6	-4	5	6	Definitely a different speaker -7	-5	-5	2	4	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	B	A	A	A	-6	Definitely the same speaker 7	Definitely the same speaker 7	2	-4	6	-3	5	3	4
27/12/2018 03:13:01	No	GLA M: https://kennywlino.github.io/msc_thesis/pages/gla_male.html	A	B	A	A	A	B	B	B	B	B	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	B	A	A	B	Definitely a different speaker -7	4	Definitely the same speaker 7	-5	4	Definitely the same speaker 7	6	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7
27/12/2018 04:29:01	Yes	GLA M: https://kennywlino.github.io/msc_thesis/pages/gla_male.html	A	B	A	A	A	B	B	B	B	B	2	-3	Definitely a different speaker -7	2	1	3	Definitely a different speaker -7	Unsure 0	-1	3	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	Unsure 0	5	Unsure 0	-2	-4	-2	-4	-5	-1	2
27/12/2018 11:39:12	No	GLA F: https://kennywlino.github.io/msc_thesis/pages/gla_female.html	A	A	A	B	A	A	B	B	A	A	Definitely the same speaker 7	-2	Unsure 0	Definitely a different speaker -7	5	2	Definitely a different speaker -7	-3	-3	Definitely a different speaker -7	SPANISH F: https://kennywlino.github.io/msc_thesis/pages/spanish_female.html	B	A	B	B	B	B	B	A	A	A	Definitely the same speaker 7	-2	4	-5	-3	5	Definitely the same speaker 7	-5	-6	1
27/12/2018 12:02:43	Yes	GLA F: https://kennywlino.github.io/msc_thesis/pages/gla_female.html	A	A	A	B	A	A	B	B	A	A	5	-2	6	-6	6	6	-3	4	-6	Definitely a different speaker -7	SPANISH F: https://kennywlino.github.io/msc_thesis/pages/spanish_female.html	B	A	A	B	B	B	A	A	B	A	Definitely the same speaker 7	-2	Definitely the same speaker 7	-6	2	-2	Definitely the same speaker 7	3	Definitely a different speaker -7	3
27/12/2018 15:40:01	Yes	EAN F:https://kennywlino.github.io/msc_thesis/pages/ean_female.html	A	B	B	A	A	A	A	B	B	A	5	Definitely a different speaker -7	-4	Definitely a different speaker -7	5	4	5	Definitely the same speaker 7	-4	-2	KOREAN M: https://kennywlino.github.io/msc_thesis/pages/korean_male.html	B	A	B	A	B	B	B	B	B	A	-4	Definitely a different speaker -7	-3	Definitely a different speaker -7	Definitely the same speaker 7	5	6	-3	-6	5
28/12/2018 03:53:05	No	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	B	A	A	B	A	A	A	A	B	B	-6	-3	2	Definitely a different speaker -7	6	-5	5	5	Definitely a different speaker -7	6	KOREAN M: https://kennywlino.github.io/msc_thesis/pages/korean_male.html	B	A	B	A	B	B	B	B	B	A	Definitely a different speaker -7	3	1	Unsure 0	Definitely the same speaker 7	Definitely the same speaker 7	1	Definitely the same speaker 7	-5	5
28/12/2018 05:02:03	No	LAN F: https://kennywlino.github.io/msc_thesis/pages/lan_female.html	A	B	B	A	A	A	B	A	A	A	4	-5	6	-3	5	3	2	-4	-6	-3	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	B	A	A	B	Definitely a different speaker -7	4	Definitely the same speaker 7	4	Definitely the same speaker 7	5	3	-6	Definitely a different speaker -7	6
28/12/2018 10:18:49	No	LAN F: https://kennywlino.github.io/msc_thesis/pages/lan_female.html	B	B	A	A	B	B	B	B	A	B	-4	-2	-1	-1	-3	-5	-4	3	Unsure 0	4	KOREAN M: https://kennywlino.github.io/msc_thesis/pages/korean_male.html	B	A	B	A	B	B	B	B	B	A	5	3	1	2	4	4	1	-2	-2	3
28/12/2018 11:25:27	Yes	LAN F: https://kennywlino.github.io/msc_thesis/pages/lan_female.html	A	A	A	A	A	B	B	A	A	A	4	2	-3	-5	-4	-5	3	-3	-1	4	KOREAN F: https://kennywlino.github.io/msc_thesis/pages/korean_female.html	B	B	B	B	B	B	B	A	A	B	6	-5	4	-6	5	5	-4	4	6	-6
28/12/2018 11:43:50	Yes	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	A	B	A	B	A	A	A	A	B	B	-5	Definitely a different speaker -7	6	Definitely a different speaker -7	6	Definitely the same speaker 7	Definitely the same speaker 7	Unsure 0	-6	Definitely a different speaker -7	HINDI M: https://kennywlino.github.io/msc_thesis/pages/hindi_male.html	B	A	A	B	A	A	B	B	A	A	Definitely the same speaker 7	6	-5	Definitely the same speaker 7	Definitely a different speaker -7	6	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7
28/12/2018 12:07:03	No	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	B	A	A	B	A	A	A	A	B	B	Definitely a different speaker -7	6	6	-3	6	5	4	Definitely the same speaker 7	-5	Definitely the same speaker 7	HINDI M: https://kennywlino.github.io/msc_thesis/pages/hindi_male.html	B	A	A	B	A	A	B	B	A	A	2	Unsure 0	-2	2	-6	6	-6	-5	Definitely a different speaker -7	3
28/12/2018 14:03:15	Yes	GLA F: https://kennywlino.github.io/msc_thesis/pages/gla_female.html	A	A	A	B	A	A	B	B	A	A	Definitely the same speaker 7	Definitely a different speaker -7	4	Definitely a different speaker -7	2	4	-6	2	4	Definitely a different speaker -7	KOREAN M: https://kennywlino.github.io/msc_thesis/pages/korean_male.html	B	A	B	A	B	B	B	B	B	A	-5	6	-2	-4	Definitely the same speaker 7	Definitely the same speaker 7	6	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7
28/12/2018 20:12:02	Yes	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	B	A	A	B	A	A	A	A	B	B	2	-2	6	-5	3	-4	-2	-3	-5	5	SPANISH F: https://kennywlino.github.io/msc_thesis/pages/spanish_female.html	B	A	A	B	B	B	B	B	B	A	5	3	4	-4	3	-3	4	-4	-4	-3
28/12/2018 22:47:49	Yes	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	A	B	A	B	A	A	A	A	B	B	Definitely the same speaker 7	Definitely a different speaker -7	6	1	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	-3	Definitely a different speaker -7	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	B	A	A	B	-1	5	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	5	Definitely a different speaker -7	Unsure 0	Definitely the same speaker 7
29/12/2018 01:52:42	Yes	LAN M: https://kennywlino.github.io/msc_thesis/pages/lan_male.html	B	A	A	B	A	B	A	A	B	A	-5	-4	5	Definitely a different speaker -7	6	Definitely a different speaker -7	3	3	Definitely a different speaker -7	4	KOREAN M: https://kennywlino.github.io/msc_thesis/pages/korean_male.html	A	B	B	A	A	B	A	A	B	A	-6	-2	-4	-5	5	-2	Definitely a different speaker -7	-2	Definitely a different speaker -7	6
29/12/2018 03:36:12	Yes	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	A	B	A	B	A	A	A	A	B	A	Definitely the same speaker 7	-6	Definitely the same speaker 7	-4	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	-5	Definitely a different speaker -7	-3	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	A	B	B	B	-4	6	4	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	4	Definitely the same speaker 7	-5	5
29/12/2018 04:29:34	Yes	GLA F: https://kennywlino.github.io/msc_thesis/pages/gla_female.html	A	A	A	B	A	A	B	B	A	A	-5	-4	5	-4	-4	1	Definitely a different speaker -7	3	-6	-4	KOREAN F: https://kennywlino.github.io/msc_thesis/pages/korean_female.html	B	B	B	B	B	B	B	A	A	B	Definitely the same speaker 7	-5	5	2	Definitely the same speaker 7	6	Definitely a different speaker -7	5	-4	-6
29/12/2018 05:35:30	Yes	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	A	B	A	B	A	A	A	A	B	B	6	-2	6	-4	Definitely the same speaker 7	6	Definitely the same speaker 7	Definitely a different speaker -7	-1	-6	HINDI M: https://kennywlino.github.io/msc_thesis/pages/hindi_male.html	B	A	A	B	A	A	B	B	A	A	5	Definitely the same speaker 7	Unsure 0	Definitely the same speaker 7	Definitely a different speaker -7	6	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7
29/12/2018 07:20:15	Yes	EAN F:https://kennywlino.github.io/msc_thesis/pages/ean_female.html	B	A	A	A	A	A	B	A	A	A	3	-2	-2	Unsure 0	-3	-3	-1	1	Unsure 0	2	HINDI M: https://kennywlino.github.io/msc_thesis/pages/hindi_male.html	B	A	A	B	A	A	B	B	A	A	2	3	1	1	-5	3	-6	-6	-6	-6
29/12/2018 12:55:24	No	GLA F: https://kennywlino.github.io/msc_thesis/pages/gla_female.html	A	A	A	B	A	A	B	B	A	A	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	B	A	A	B	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7
29/12/2018 19:38:01	Yes	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	A	B	A	B	A	A	A	A	B	B	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	-5	6	Definitely the same speaker 7	5	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7	SPANISH F: https://kennywlino.github.io/msc_thesis/pages/spanish_female.html	B	A	A	A	B	B	A	A	A	A	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	5	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely a different speaker -7
29/12/2018 23:35:16	No	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	A	B	A	B	A	A	A	A	B	B	6	5	Definitely the same speaker 7	-6	-5	Definitely the same speaker 7	Definitely the same speaker 7	-6	-6	Definitely a different speaker -7	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	B	B	A	A	A	A	A	A	B	A	-6	6	-5	Definitely a different speaker -7	-6	Definitely the same speaker 7	-5	5	6	-6
31/12/2018 02:13:30	No	LAN F: https://kennywlino.github.io/msc_thesis/pages/lan_female.html	A	A	B	A	A	B	A	A	A	A	6	-5	-4	5	-4	5	5	6	-5	-5	KOREAN M: https://kennywlino.github.io/msc_thesis/pages/korean_male.html	B	A	B	A	B	B	B	B	B	A	6	6	6	-6	6	6	Definitely a different speaker -7	Definitely the same speaker 7	6	Definitely the same speaker 7
31/12/2018 03:51:32	No	LAN F: https://kennywlino.github.io/msc_thesis/pages/lan_female.html	A	A	B	B	A	A	B	B	A	A	Unsure 0	-4	2	2	-4	-3	-4	3	Unsure 0	1	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	A	A	B	B	A	A	B	B	A	A	-3	Unsure 0	Unsure 0	3	4	-3	-2	Unsure 0	-1	3
31/12/2018 19:39:47	Yes	EAN F:https://kennywlino.github.io/msc_thesis/pages/ean_female.html	A	A	B	A	A	A	B	A	A	A	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	SPANISH M: https://kennywlino.github.io/msc_thesis/pages/spanish_male.html	A	B	A	B	B	B	B	A	A	B	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely the same speaker 7	Definitely a different speaker -7	Definitely a different speaker -7	Definitely the same speaker 7
01/01/2019 06:22:14	No	EAN M: https://kennywlino.github.io/msc_thesis/pages/ean_male.html	A	A	A	A	A	A	A	A	A	A	-5	-5	-5	-6	-4	-6	-6	-4	-6	Definitely a different speaker -7	HINDI F: https://kennywlino.github.io/msc_thesis/pages/hindi_female.html	A	A	A	A	A	A	A	A	A	A	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5